City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
619,Puerto Narino,CO,88.92,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
620,Poum,NC,80.02,few clouds,-20.2333,164.0167,
622,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
623,Morros,BR,86.94,overcast clouds,-9.4467,-46.3003,
627,Mapiripan,CO,89.58,overcast clouds,2.8892,-72.1256,Monserrate
629,Porto Novo,BJ,87.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
630,Sembe,CG,79.11,light rain,1.6481,14.5806,
633,Vallenar,CL,82.35,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
636,Kochi,IN,80.58,few clouds,9.9399,76.2602,Trident Hotel Cochin
637,Subtanjalla,PE,87.53,scattered clouds,-14.0189,-75.7581,Hotel Las Dunas
651,Kuchinarai,TH,77.2,overcast clouds,16.541,104.05,โรงแรมแสงชัย
654,Manokwari,ID,77.65,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
661,Zabid,YE,82.26,clear sky,14.1951,43.3152,مغرب التريبه
663,Surin,TH,79.25,overcast clouds,14.8818,103.4936,One Fu Hotel
675,Bambanglipuro,ID,76.17,light rain,-7.95,110.2833,Puri Brata
679,Coahuayana,MX,85.24,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
682,Mayumba,GA,78.98,light rain,-3.432,10.6554,LIKWALE LODGE
689,Pangai,TO,81.21,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
691,Arlit,NE,88.86,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
695,Nueva Loja,EC,75.22,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
697,Hobyo,SO,82.83,clear sky,5.3505,48.5268,Iftin hotel hobyo
