City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Saint-Philippe,RE,-21.3585,55.7679,78.39,69,66,14.2,broken clouds
69,Albany,US,42.6001,-73.9662,56.43,80,90,1.99,overcast clouds
70,Pangody,RU,65.85,74.4859,15.49,92,100,20.4,light snow
71,Te Anau,NZ,-45.4167,167.7167,47.71,89,100,4.56,overcast clouds
72,Hofn,IS,64.2539,-15.2082,39.22,70,75,2.3,broken clouds
73,Georgetown,MY,5.4112,100.3354,80.53,97,20,4.61,few clouds
74,Tahta,EG,26.7693,31.5021,83.3,6,89,6.67,overcast clouds
75,Westport,US,41.1415,-73.3579,62.89,88,75,17.27,broken clouds
76,Airai,TL,-8.9266,125.4092,57.18,86,8,1.95,clear sky
77,Hualmay,PE,-11.0964,-77.6139,74.93,73,56,9.51,broken clouds
78,Cidreira,BR,-30.1811,-50.2056,66.0,50,47,9.73,scattered clouds
79,Methoni,GR,36.8197,21.7049,64.22,70,100,24.54,overcast clouds
80,Axim,GH,4.8699,-2.2405,84.54,74,63,11.32,broken clouds
81,Mariental,NA,-24.6333,17.9667,66.45,75,57,10.25,heavy intensity rain
82,Barpathar,IN,26.3,93.8667,74.37,66,100,3.98,overcast clouds
83,Talkha,EG,31.0539,31.3779,58.91,60,81,10.09,broken clouds
84,Petauke,ZM,-14.2426,31.3253,65.57,95,6,4.12,clear sky
85,Great Yarmouth,GB,52.6083,1.7305,41.25,49,95,31.27,overcast clouds
86,Hasaki,JP,35.7333,140.8333,45.0,88,100,25.28,light rain
87,Kifri,IQ,34.6959,44.9661,73.83,23,0,9.04,clear sky
88,Bredasdorp,ZA,-34.5322,20.0403,63.48,62,96,8.59,overcast clouds
89,Namatanai,PG,-3.6667,152.4333,79.11,81,64,4.83,light rain
90,Wajir,KE,1.7471,40.0573,88.32,46,52,4.63,broken clouds
91,Cockburn Town,TC,21.4612,-71.1419,76.86,78,37,25.52,scattered clouds
92,Karratha,AU,-20.7377,116.8463,85.17,68,100,7.74,overcast clouds
93,Broome,US,42.2506,-75.833,65.17,70,40,18.01,scattered clouds
94,La Ronge,CA,55.1001,-105.2842,34.05,55,100,10.36,overcast clouds
95,Sitka,US,57.0531,-135.33,39.09,87,75,6.91,broken clouds
96,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,83.28,67,100,7.27,overcast clouds
97,Saskylakh,RU,71.9167,114.0833,4.68,98,100,5.3,overcast clouds
98,Codrington,AU,-38.2667,141.9667,56.62,65,76,13.51,broken clouds
99,Quatre Cocos,MU,-20.2078,57.7625,78.91,76,98,18.97,light rain
100,Saldanha,ZA,-33.0117,17.9442,61.92,76,56,24.25,broken clouds
101,Carnarvon,AU,-24.8667,113.6333,71.67,100,100,14.97,light rain
102,Kamyshevatskaya,RU,46.4132,37.9563,52.47,62,89,19.24,overcast clouds
103,North Bend,US,43.4065,-124.2243,50.16,91,100,0.0,overcast clouds
104,Maragogi,BR,-9.0122,-35.2225,83.23,68,100,7.58,overcast clouds
105,Hamilton,US,39.1834,-84.5333,47.88,76,100,25.32,overcast clouds
106,Xinqing,CN,48.2333,129.5,14.83,95,19,3.85,few clouds
107,Port Elizabeth,ZA,-33.918,25.5701,67.1,84,100,9.22,overcast clouds
108,Manggar,ID,-2.8833,108.2667,78.67,84,59,2.98,broken clouds
109,Iqaluit,CA,63.7506,-68.5145,28.13,93,100,6.91,light snow
110,Saint George,US,37.1041,-113.5841,69.64,32,0,3.44,clear sky
111,Hun,LY,29.1268,15.9477,91.45,6,99,11.07,overcast clouds
112,Prince Rupert,CA,54.3161,-130.3201,39.29,93,100,4.61,light rain
113,Malanje,AO,-9.5402,16.341,68.99,89,53,3.18,light rain
114,Grand Gaube,MU,-20.0064,57.6608,79.2,81,94,5.99,overcast clouds
115,Nikolskoye,RU,59.7035,30.7861,28.29,93,61,2.1,broken clouds
116,Luderitz,NA,-26.6481,15.1594,66.07,66,0,24.79,clear sky
117,Khatanga,RU,71.9667,102.5,-0.29,97,39,5.86,scattered clouds
118,Upernavik,GL,72.7868,-56.1549,18.75,94,100,12.06,overcast clouds
119,Malabo,GQ,3.75,8.7833,84.24,77,44,11.1,light rain
120,Novyy Urgal,RU,51.0736,132.5642,11.7,90,91,1.36,overcast clouds
121,Klaksvik,FO,62.2266,-6.589,38.32,74,100,6.06,overcast clouds
122,Avarua,CK,-21.2078,-159.775,73.45,100,8,2.3,clear sky
123,Thompson,CA,55.7435,-97.8558,31.14,91,99,6.67,overcast clouds
124,Cabo San Lucas,MX,22.8909,-109.9124,78.62,49,20,2.3,few clouds
125,Chervona Sloboda,UA,49.3789,32.1464,55.35,65,100,12.95,overcast clouds
126,Fomboni,KM,-12.28,43.7425,82.42,77,86,12.91,moderate rain
127,Nelson Bay,AU,-32.7167,152.15,61.0,79,89,27.83,overcast clouds
128,Akdepe,TM,42.0551,59.3788,59.09,19,100,7.96,overcast clouds
129,Port Alfred,ZA,-33.5906,26.891,64.18,92,100,1.99,overcast clouds
130,Road Town,VG,18.4167,-64.6167,82.49,72,7,22.5,clear sky
131,Tomatlan,MX,19.9333,-105.25,84.96,27,38,6.29,scattered clouds
132,Mayya,RU,61.7333,130.2811,-0.69,100,81,3.06,broken clouds
133,Siilinjarvi,FI,63.0833,27.6667,24.82,93,40,4.61,scattered clouds
134,Butaritari,KI,3.0707,172.7902,80.37,79,61,12.95,broken clouds
135,Barrow,US,71.2906,-156.7887,-16.58,69,0,14.97,clear sky
136,Lac Du Bonnet,CA,50.2536,-96.0612,28.78,67,15,5.01,few clouds
137,Winnemucca,US,40.973,-117.7357,46.45,39,0,8.05,clear sky
138,Laguna,US,38.421,-121.4238,58.96,80,0,5.75,clear sky
139,Zhigansk,RU,66.7697,123.3711,9.55,93,100,15.43,overcast clouds
140,Guzelyurt,TR,38.2772,34.3719,47.16,49,85,6.96,overcast clouds
141,George Town,MY,5.4112,100.3354,80.53,89,20,0.0,few clouds
142,Itarema,BR,-2.9248,-39.9167,76.01,90,100,6.13,moderate rain
143,Vaini,TO,-21.2,-175.2,80.17,79,100,11.12,light rain
144,Chancay,PE,-11.5714,-77.2672,73.81,73,49,8.1,scattered clouds
145,Beni,CD,0.5,29.4667,65.84,89,55,1.5,light rain
146,Holme,DK,56.1138,10.1725,38.77,60,84,10.6,broken clouds
147,Kavaratti,IN,10.5669,72.642,83.53,77,6,9.19,clear sky
148,Bathsheba,BB,13.2167,-59.5167,84.81,65,20,21.85,few clouds
149,East London,ZA,-33.0153,27.9116,67.14,94,75,5.75,broken clouds
150,Guerrero Negro,MX,27.9769,-114.0611,62.83,67,100,14.0,overcast clouds
