City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Kapaa,US,2022-03-29 20:08:02,22.0752,-159.319,78.78,78,0,4.61
59,Georgetown,MY,2022-03-29 20:06:29,5.4112,100.3354,80.53,83,20,0.0
60,Songjianghe,CN,2022-03-29 20:08:03,42.1859,127.479,30.99,98,100,2.04
61,Ramon,PH,2022-03-29 20:08:03,16.7842,121.535,72.7,90,54,1.25
62,Punta Arenas,CL,2022-03-29 20:05:17,-53.15,-70.9167,48.22,68,75,23.02
63,Pacific Grove,US,2022-03-29 20:05:05,36.6177,-121.9166,61.81,93,100,10.36
64,Belyy Yar,RU,2022-03-29 20:08:04,53.6039,91.3903,23.86,85,0,2.24
65,Newcastle,AU,2022-03-29 20:08:05,-32.9272,151.7765,73.71,87,75,13.8
66,Rundu,NA,2022-03-29 20:04:02,-17.9333,19.7667,70.39,69,91,5.46
67,Cape Town,ZA,2022-03-29 20:05:01,-33.9258,18.4232,63.12,85,2,13.69
68,Thompson,CA,2022-03-29 20:08:05,55.7435,-97.8558,28.11,87,100,8.19
69,Bolshaya Glushitsa,RU,2022-03-29 20:08:06,50.2406,43.5908,43.03,78,100,18.23
70,Urumqi,CN,2022-03-29 20:06:07,43.801,87.6005,41.95,61,0,2.24
71,Cayenne,GF,2022-03-29 20:08:07,4.9333,-52.3333,82.44,2,75,13.8
72,Husavik,IS,2022-03-29 20:08:07,66.0449,-17.3389,27.79,72,11,8.34
73,Khuzhir,RU,2022-03-29 20:08:07,53.1939,107.3397,9.16,87,7,2.89
74,Gafanha Da Encarnacao,PT,2022-03-29 20:08:08,40.6181,-8.733,57.02,85,31,18.81
75,Provideniya,RU,2022-03-29 20:08:08,64.3833,-173.3,5.2,76,7,5.68
76,Miri,MY,2022-03-29 20:08:09,4.4148,114.0089,76.28,87,77,3.13
77,Hermanus,ZA,2022-03-29 20:08:09,-34.4187,19.2345,67.8,75,0,18.61
78,Outjo,NA,2022-03-29 20:08:09,-20.1167,16.15,70.93,64,98,8.66
79,Tazovskiy,RU,2022-03-29 20:08:10,67.4667,78.7,26.78,93,100,11.56
80,Chum Phae,TH,2022-03-29 20:08:10,16.5443,102.0992,77.36,71,21,1.81
81,Pandan,PH,2022-03-29 20:08:11,14.0453,124.1694,78.21,87,56,9.62
82,Imbituba,BR,2022-03-29 20:08:11,-28.24,-48.6703,76.01,76,0,14.5
83,Mahebourg,MU,2022-03-29 20:08:12,-20.4081,57.7,79.09,73,20,4.61
84,Half Moon Bay,US,2022-03-29 20:08:12,37.4636,-122.4286,67.41,80,75,18.41
85,Matara,LK,2022-03-29 20:08:12,5.9485,80.5353,77.27,87,2,1.72
86,Komsomolskiy,UZ,2022-03-29 20:08:13,40.4272,71.7189,43.11,61,46,4.72
87,Khvoynaya,RU,2022-03-29 20:08:13,58.9,34.5333,8.06,97,78,3.4
88,Palmer,US,2022-03-29 20:08:14,42.1584,-72.3287,39.24,30,20,21.85
89,Genhe,CN,2022-03-29 20:08:14,50.7833,121.5167,2.35,97,12,1.25
90,Mount Gambier,AU,2022-03-29 20:09:15,-37.8333,140.7667,52.83,78,56,5.59
91,Hofn,IS,2022-03-29 20:09:15,64.2539,-15.2082,31.55,63,29,10.09
92,Airai,TL,2022-03-29 20:09:16,-8.9266,125.4092,59.52,95,97,0.67
93,Scicli,IT,2022-03-29 20:09:16,36.7902,14.7014,51.35,88,100,1.57
94,Ponta Do Sol,PT,2022-03-29 20:09:17,32.6667,-17.1,65.01,75,25,7.09
95,Arboletes,CO,2022-03-29 20:09:17,8.8505,-76.4269,84.06,74,70,10.63
96,Saldanha,ZA,2022-03-29 20:09:18,-33.0117,17.9442,61.29,87,16,8.08
97,Togur,RU,2022-03-29 20:09:18,58.3631,82.8265,32.09,95,98,9.19
98,Dukat,RU,2022-03-29 20:09:19,62.55,155.55,-0.9,97,100,3.49
99,Huercal-Overa,ES,2022-03-29 20:09:19,37.389,-1.9454,62.24,85,93,0.27
100,Tarime,TZ,2022-03-29 20:09:20,-1.35,34.3667,64.96,90,98,2.8
101,Vila Franca Do Campo,PT,2022-03-29 20:09:20,37.7167,-25.4333,61.21,96,92,5.99
102,Athabasca,CA,2022-03-29 20:09:21,54.7169,-113.2854,36.5,81,55,11.14
103,Atuona,PF,2022-03-29 20:09:21,-9.8,-139.0333,79.25,79,90,16.87
104,Menongue,AO,2022-03-29 20:09:22,-14.6585,17.691,63.77,87,46,5.12
105,Kawambwa,ZM,2022-03-29 20:09:22,-9.7915,29.0791,62.73,97,100,2.1
106,Bridlington,GB,2022-03-29 20:09:23,54.0831,-0.1919,45.9,92,75,3.0
107,Qaqortoq,GL,2022-03-29 20:09:23,60.7167,-46.0333,32.25,74,88,2.64
108,Ust-Ishim,RU,2022-03-29 20:09:24,57.6935,71.1665,31.23,98,100,9.75
109,Yulara,AU,2022-03-29 20:09:24,-25.2406,130.9889,71.44,30,100,6.91
110,Halifax,CA,2022-03-29 20:08:04,44.6453,-63.5724,38.21,70,99,15.99
111,Araguari,BR,2022-03-29 20:04:29,-18.6472,-48.1872,78.78,58,7,5.46
112,Arlit,NE,2022-03-29 20:09:25,18.7369,7.3853,81.86,4,0,10.42
113,Leningradskiy,RU,2022-03-29 20:09:26,69.3833,178.4167,-17.81,98,48,3.31
114,New Norfolk,AU,2022-03-29 20:09:26,-42.7826,147.0587,54.9,62,82,3.27
115,Shelburne,CA,2022-03-29 20:09:26,44.0787,-80.2041,34.75,42,3,9.86
116,Pangnirtung,CA,2022-03-29 20:06:32,66.1451,-65.7125,25.18,86,25,0.94
117,Kruisfontein,ZA,2022-03-29 20:09:27,-34.0033,24.7314,62.89,87,100,5.08
118,Yugorsk,RU,2022-03-29 20:09:28,61.3133,63.3319,15.01,95,100,2.82
119,Carutapera,BR,2022-03-29 20:09:28,-1.195,-46.02,76.91,92,100,3.31
120,College,US,2022-03-29 20:05:25,64.8569,-147.8028,35.8,57,100,3.44
121,Vao,NC,2022-03-29 20:09:30,-22.6667,167.4833,78.4,84,100,17.47
122,Noceto,IT,2022-03-29 20:09:30,44.8114,10.1713,56.44,63,91,7.63
123,Kahului,US,2022-03-29 20:09:32,20.8947,-156.47,82.42,47,0,19.57
124,Saint-Philippe,RE,2022-03-29 20:09:32,-21.3585,55.7679,76.59,90,100,15.48
125,Ugoofaaru,MV,2022-03-29 20:09:33,5.6667,73.0,82.4,72,1,1.61
126,Horki,BY,2022-03-29 20:09:34,54.2861,30.9842,28.9,81,100,4.72
127,Torbay,CA,2022-03-29 20:05:37,47.6666,-52.7314,33.76,93,100,5.01
128,Westport,US,2022-03-29 20:04:39,41.1415,-73.3579,39.2,37,75,18.41
129,Kuryk,KZ,2022-03-29 20:09:34,43.2,51.65,44.96,84,2,21.5
130,Soto La Marina,MX,2022-03-29 20:09:35,23.7667,-98.2167,96.71,24,0,21.45
131,Tiksi,RU,2022-03-29 20:09:35,71.6872,128.8694,-0.54,96,100,4.88
132,San Patricio,US,2022-03-29 20:09:36,28.017,-97.5169,84.29,54,16,24.81
133,Bambanglipuro,ID,2022-03-29 20:09:36,-7.95,110.2833,76.15,89,86,4.03
134,Ondjiva,AO,2022-03-29 20:10:37,-17.0667,15.7333,72.66,57,49,4.41
135,Jumla,NP,2022-03-29 20:10:37,29.2747,82.1838,48.49,47,0,3.85
136,Kaka,TM,2022-03-29 20:10:37,37.3482,59.6143,46.65,44,0,12.17
137,Homestead,US,2022-03-29 20:10:38,25.4687,-80.4776,84.2,49,0,10.36
138,Xining,CN,2022-03-29 20:10:38,36.6167,101.7667,34.65,45,48,0.72
139,Evensk,RU,2022-03-29 20:10:39,61.95,159.2333,13.73,78,100,12.3
140,Hay River,CA,2022-03-29 20:06:34,60.8156,-115.7999,28.35,96,100,6.2
141,Hilo,US,2022-03-29 20:05:40,19.7297,-155.09,78.53,75,0,7.0
142,Soe,ID,2022-03-29 20:10:40,-9.8607,124.284,65.62,92,100,2.66
143,Araouane,ML,2022-03-29 20:10:40,18.9048,-3.5265,89.24,7,58,9.62
144,Whitecourt,CA,2022-03-29 20:10:41,54.1502,-115.6855,43.59,67,40,5.64
145,Valdobbiadene,IT,2022-03-29 20:10:41,45.8993,11.9946,52.12,81,97,2.17
146,Iqaluit,CA,2022-03-29 20:10:41,63.7506,-68.5145,23.7,79,100,3.62
147,Aripuana,BR,2022-03-29 20:10:42,-9.1667,-60.6333,81.61,87,100,2.77
148,Chokurdakh,RU,2022-03-29 20:10:42,70.6333,147.9167,-19.26,96,5,3.15
149,Port Macquarie,AU,2022-03-29 20:09:31,-31.4333,152.9167,67.89,100,75,14.97
150,Chapais,CA,2022-03-29 20:10:43,49.7834,-74.8492,18.63,80,100,10.98
151,Bluff,NZ,2022-03-29 20:10:43,-46.6,168.3333,54.77,89,8,6.33
152,Uige,AO,2022-03-29 20:10:44,-7.6087,15.0613,66.63,99,100,1.3
153,Colquechaca,BO,2022-03-29 20:10:44,-18.6667,-66.0167,51.28,22,4,7.99
154,Vicuna,CL,2022-03-29 20:10:45,-30.0319,-70.7081,87.76,23,0,7.9
155,Qaanaaq,GL,2022-03-29 20:10:45,77.484,-69.3632,14.74,91,100,1.28
156,Lebrija,ES,2022-03-29 20:10:46,36.9208,-6.0753,61.09,94,20,4.61
157,Kaspiyskiy,RU,2022-03-29 20:10:46,45.3929,47.3707,42.76,77,79,11.88
158,Acapulco,MX,2022-03-29 20:10:47,16.8634,-99.8901,84.02,51,0,8.05
159,Tuatapere,NZ,2022-03-29 20:10:47,-46.1333,167.6833,54.43,90,3,3.56
160,Nanortalik,GL,2022-03-29 20:10:48,60.1432,-45.2371,32.14,74,100,4.16
161,Chiredzi,ZW,2022-03-29 20:10:48,-21.05,31.6667,66.24,73,6,3.85
162,Puerto Escondido,MX,2022-03-29 20:10:49,15.85,-97.0667,86.83,70,20,10.36
163,Kodiak,US,2022-03-29 20:10:29,57.79,-152.4072,36.91,93,100,9.22
164,Belo Jardim,BR,2022-03-29 20:10:49,-8.3356,-36.4242,75.67,74,100,10.38
165,Avarua,CK,2022-03-29 20:10:50,-21.2078,-159.775,82.45,83,20,10.36
166,Osa,RU,2022-03-29 20:10:50,57.2829,55.4567,16.0,96,99,5.73
167,Lebu,CL,2022-03-29 20:10:50,-37.6167,-73.65,56.75,56,1,17.43
168,Gilbues,BR,2022-03-29 20:10:51,-9.8317,-45.3439,83.89,55,100,8.5
169,Viedma,AR,2022-03-29 20:10:51,-40.8135,-62.9967,54.66,48,96,25.93
170,Krasnovishersk,RU,2022-03-29 20:10:52,60.4078,57.082,10.29,98,98,2.42
171,Vihti,FI,2022-03-29 20:07:18,60.417,24.3197,26.53,65,61,5.99
172,Dauriya,RU,2022-03-29 20:10:52,49.9333,116.8667,19.63,26,98,1.25
173,Goose Creek,US,2022-03-29 20:07:49,32.981,-80.0326,67.08,46,40,10.36
